File_ID,File_Path_Origin,File_Size,File_Date,File_Path_Destination,File_Destination_Size
51,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13621-AVIS-SOC-GLASSDOOR-E1178969_P1.html,249.9 KB,2023-04-07 14:29:46.512496,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13621-AVIS-SOC-GLASSDOOR-E1178969_P1.html,249.9 KB
52,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13803-INFO-SOC-GLASSDOOR-E20114_P1.html,483.5 KB,2023-04-07 14:29:46.513239,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13803-INFO-SOC-GLASSDOOR-E20114_P1.html,483.5 KB
53,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13678-AVIS-SOC-GLASSDOOR-E379472_P2.html,655.1 KB,2023-04-07 14:29:46.513937,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13678-AVIS-SOC-GLASSDOOR-E379472_P2.html,655.1 KB
54,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13584-AVIS-SOC-GLASSDOOR-E1044716_P1.html,352.3 KB,2023-04-07 14:29:46.514707,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13584-AVIS-SOC-GLASSDOOR-E1044716_P1.html,352.3 KB
55,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13626-INFO-SOC-GLASSDOOR-E3765_P1.html,225.1 KB,2023-04-07 14:29:46.515413,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13626-INFO-SOC-GLASSDOOR-E3765_P1.html,225.1 KB
56,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13774-INFO-EMP-LINKEDIN-FR-1644139275.html,32.2 KB,2023-04-07 14:29:46.516153,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13774-INFO-EMP-LINKEDIN-FR-1644139275.html,32.2 KB
57,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13657-INFO-EMP-LINKEDIN-FR-1599221020.html,180.4 KB,2023-04-07 14:29:46.516865,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13657-INFO-EMP-LINKEDIN-FR-1599221020.html,180.4 KB
58,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13602-INFO-EMP-LINKEDIN-FR-1612979912.html,405.1 KB,2023-04-07 14:29:46.517610,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13602-INFO-EMP-LINKEDIN-FR-1612979912.html,405.1 KB
59,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13725-AVIS-SOC-GLASSDOOR-E10842_P1.html,511.1 KB,2023-04-07 14:29:46.518383,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13725-AVIS-SOC-GLASSDOOR-E10842_P1.html,511.1 KB
60,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13694-INFO-EMP-LINKEDIN-FR-1607883489.html,312.6 KB,2023-04-07 14:29:46.519123,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13694-INFO-EMP-LINKEDIN-FR-1607883489.html,312.6 KB
