,file,society,city,size,secteur,fondation,website
50,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13649-INFO-SOC-GLASSDOOR-E2548_P1.html,Manpower,"Uxbridge, Angleterre (Royaume-Uni)",De 5 001 à 10 000 employés, Recrutement et sous-traitance, 1948,None
51,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13584-INFO-SOC-GLASSDOOR-E1044716_P1.html,Smile Group,Asnières-sur-Seine,De 1 001 à 5 000 employés, Services informatiques, 1991,None
52,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13554-INFO-SOC-GLASSDOOR-E855284_P1.html,Atos Medical,"New Berlin, WI (États-Unis)",De 51 à 200 employés, Fabrication de produits de soins de santé, 2000,None
53,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13741-INFO-SOC-GLASSDOOR-E1132227_P1.html,JEMS Group,Neuilly,Entre 201 et 500 employés, Services informatiques, 2002,None
54,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13790-INFO-SOC-GLASSDOOR-E9028_P1.html,Gfi Informatique,"Saint-Ouen, Île-de-France",Plus de 10 000 employés, Services informatiques, 1995,None
55,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13800-INFO-SOC-GLASSDOOR-E1443740_P1.html,ibis,Courcouronnes,Plus de 10 000 employés," Hôtels, motels et stations de tourisme", Inconnu,None
56,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13618-INFO-SOC-GLASSDOOR-E1136406_P1.html,SOTRAVO Filiale SOLOCAL GROUP,Montigny,Inconnu, Inconnu, Inconnu,None
57,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13767-INFO-SOC-GLASSDOOR-E1387356_P1.html,Openfield Live,Paris,De 1 à 50 employés, Inconnu, Inconnu,None
58,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13606-INFO-SOC-GLASSDOOR-E31197_P1.html,Volvo Construction Equipment,"Asheville, NC (États-Unis)",Entre 201 et 500 employés, Fabrication industrielle, 1985,None
59,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13714-INFO-SOC-GLASSDOOR-E10777_P1.html,Lectra,Paris,De 1 001 à 5 000 employés, Matériel et logiciels informatiques, 1973,None
60,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13792-INFO-SOC-GLASSDOOR-E33451_P1.html,GFI Software,"Austin, TX (États-Unis)",De 51 à 200 employés, Matériel et logiciels informatiques, 1992,None
61,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13693-INFO-SOC-GLASSDOOR-E762009_P1.html,Datadog,"New York, NY (États-Unis)",De 1 001 à 5 000 employés, Matériel et logiciels informatiques, 2010,None
62,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13570-INFO-SOC-GLASSDOOR-E1394648_P1.html,Abaka,Rennes,De 1 à 50 employés, Conseils, 2002,None
63,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13655-INFO-SOC-GLASSDOOR-E717393_P1.html,Canon ITS,"Chesapeake, VA (États-Unis)",Entre 201 et 500 employés, Comptabilité, Inconnu,None
64,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13607-INFO-SOC-GLASSDOOR-E301204_P1.html,Volvo Information Technology,De 1 001 à 5 000 employés, Inconnu, Services informatiques, Inconnu,None
65,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13809-INFO-SOC-GLASSDOOR-E413452_P1.html,Transdev,"Lombard, IL (États-Unis)",Plus de 10 000 employés, Gestion des transports, 2011,None
66,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13733-INFO-SOC-GLASSDOOR-E852040_P1.html,Yongzhi Plastic Electronics (Shenzhen) Co.,Hong Kong (Hong Kong),Entre 201 et 500 employés, Fabrication industrielle, 1993,None
